,titles,category
0,애플  비전 프로 에 뜨거워진    헤드셋 시장  삼성  올 하반기 신제품으로 응수 나서나,IT
1, 이구순의 느린 걸음  단통법 폐지   후속대책이 먼저다,IT
2, 단독  아내에게 전화했는데 다른 사람 목소리가   는  껐다 켜라 ,IT
3, 나 죽거든 카톡은   본인이 직접 추모 프로필 유언 남긴다,IT
4,온스타일     품은  홈쇼핑 전문가  박승표    알파 새 수장으로,IT
5, 먼저 떠난 남편  카톡에서라도  카카오톡   추모 프로필  기능 강화,IT
6,넷플릭스    캐나다  베이직 요금제  폐지 광고형 힘 싣나,IT
7, 꿈의 신물질 초전도체  한국서 진짜 나올까   하태경  초전도기술  촉진법안 발의,IT
8,한 일 보다 빨랐다 대만 프롤로지움  전고체 배터리 공장 가동,IT
9,제 이통 주파수 경매      단통법 폐지  득일까 실일까,IT
10,  당국  게임 규제 공지 삭제  업계  철회로 단정 짓긴 일러 ,IT
11,범 국가적 해킹 가능성 제기한 국정원   북    로 사이버 공격 고도화 나서 ,IT
12,국정원  공공기관 해킹시도   건 중  건   소행 김정은  목표 진두지휘 ,IT
13,갤럭시    울트라  바닥에 떨어뜨려봤더니,IT
14, 요고  예상과 다르네    파격 요금제  가입시 주의점은 ,IT
15,나트륨이온배터리    년엔 중저가 시장  주도      보다     싸질 것   소부장박대리 ,IT
16,내 카톡  추모 프로필  전환 여부  본인이 생전 직접 선택한다,IT
17,국정원  작년 국제 해킹조직 공격     급증    가 북한발 ,IT
18,외국인 건보 무임승차 힘들어진다 피부양자 기준 강화,IT
19, 단독  아내에게 전화했는데 다른 사람 목소리가   는  껐다 켜라 ,IT
20,올해부터 수도권   개 대학병원  신규 간호사 채용 면접  같은 날 본다,IT
21, 이래도 안 와       세대 취향 신세계  스타필드 수원  문 연다,IT
22, 갤     인도에서 잘나가네 사전예약  일 만에   만대 돌파  신기록 ,IT
23,벌써 글로벌 흥행 예고   삼성   폰  새 역사 쓸까,IT
24,갤      년만에     만대 넘긴다 사전예판    만대 청신호,IT
25,유전병으로 못 걷던 쥐가 호전됐다,IT
26,세계 최대 핵융합 실험장치  제트  해체 돌입 부품 재활용 가능성 따진다,IT
27, 나 가거든 한마디 남겨주오  카톡  추모 프로필  바뀐 점은,IT
28,국정원  올해  슈퍼 선거의 해      사이버위협 커질 것 ,IT
29,갤럭시     사전예약 판매 신기록 전망 두 자릿수 증가,IT
30,무협  고급두뇌 유치로 인력난 골든타임 잡아야 ,IT
31,스마일게이트   전지적 독자 시점  영화화에 첫 투자    이민호 등 캐스팅 확정,IT
32,삼성  비침습 혈당 측정 기술 개발 중  애플과 헬스케어 경쟁,IT
33,국정원  북한  가상자산 동호회 회원정보 해킹 수억원 탈취해 ,IT
34,김홍일 방통위원장  조속히  인 체제 희망 국회 도와달라 ,IT
35, 무조건 할인 먹혔다  쿠팡이츠  요기요 제치고  배달앱  위 ,IT
36,생명연  유전성 하지마비 쥐 걷게 하는 유전자치료제 개발 ,IT
37,제 이통       주파수 경매     최종 낙찰가  주목 ,IT
38,국내 공공 사이버위협    가      선거철 노린다,IT
39,해외 부진에 직면한   게임  규제안 공지 결국 삭제,IT
40,흙 뿌리고 드릴로 갈아도  멀쩡  혹독한 테스트 견뎌낸 갤   ,IT
41,  게임 규제 완화   게임사에 호재될까,IT
42,넷플릭스 프로레슬링  유튜브         중계권 확보 왜 ,IT
43, 오징어 게임에 삼성 갤럭시폰이 왜 나와   알고 보니 ,IT
44, 오겜  열풍인      술래 잡아낸 로봇  영희 의 눈이 폰카라고 ,IT
45, 기술 자립 강화  화웨이  안방 시장서 스마트폰 판매율     늘리며 애플 압박,IT
46,   한복판에 오겜 영희  우뚝  갤    울트라로  달고나 게임 ,IT
47,스마트폰 시장 침체  중고폰은     성장  억대 넘게 팔렸다,IT
48,  년 중계권에  조    억 투입 넷플릭스가 선택한 프로그램은 ,IT
49,  초강력 게임 규제안 웹사이트서 삭제   반등 기대감에 관련주 상승,IT
50,가입자    억 돌파  잘나가는 넷플릭스  다음 승부는 스포츠 ,IT
51,셀트리온  중국  우시    와     신약 개발 협력,IT
52,전병희 싸이토젠 대표  글로벌 톱  암센터 모두 러브콜 올해 매출 급성장 ,IT
53,  시간 잠만 자도    만원 준다  난리난 돈벌이  만명 몰렸다,IT
54,구글 차세대 폰  픽셀  프로  미리보기  카메라 모양 바뀌었네 ,IT
55,      데이터 폭증 해결 광원 소자 개발,IT
56,연내   내비게이션에서 침수도로 위험 알린다,IT
57,사람처럼 의도적으로 거짓말하는        재교육해도 못 고쳐 ,IT
58,위기 의식 고조     토요 사장단회의 부활,IT
59,애플카  또 출시 지연되나 블룸버그      년 연기에 자율주행 기능도 하향 ,IT
60,한미     결합  분수령될 통합무효 가처분소송 쟁점은 ,IT
61, 자막뉴스   새로운 방법 썼다    완벽한  복제 원숭이  탄생,IT
62,   서버용 펌웨어 보안 취약점  픽시페일  주의보,IT
63, 제로트러스트 시대    미국은 실현에 올인  한국은 이제 출발선,IT
64, 고고     완전자본잠식 이에이트  상장 가능할까 ,IT
65,갤럭시     인도서 사전예약 판매 신기록,IT
66,      데이터 전송 속도        급 광원 소자 개발  초 만에 영화    편 내려받는다,IT
67, 포켓몬보다 재밌네  팰월드  스팀서  일 만에    만 장 팔려,IT
68,한파 만큼이나 추운 게임업계 연이어 들려오는 구조조정    돋보기 ,IT
69,티맵 우버 합작 우티  택시 업계와 갈등  시범 서비스  시끌 ,IT
