,titles,category
0,한동훈  민주당 운동권에 죄송한 마음 전혀 없어 청년에겐 죄송함 커 ,Politics
1, 속보  이준석 양향자 합당 선언   제 지대 빅텐트  가속화 예고,Politics
2,개혁신당 양향자 합당 선언 새미래 미래연 통합 초읽기,Politics
3, 김 여사 유학가라  얘기까지 나오는데 명품백 사과엔 침묵   우회로만 만지작,Politics
4,  서천시장 상인 외면 논란 왜   쇼      정치공세  공방,Politics
5,김남국  소개팅서 햄버거 나눠먹어  정유라  가지가지 ,Politics
6,이준석 띄운 지하철 노인 무임승차 폐지 어떻게 생각하십니까 ,Politics
7,국정원  작년 국내 공공기관 해킹 공격     급증    가   ,Politics
8,문재인  생일 날엔 산행이죠     세 생일  김정숙 여사와 근황 공개,Politics
9, 거기서 웃어도 되나   행안부 장관 미소  갑론을박 ,Politics
10, 충분히 말씀드렸다   정치쇼 말고 특검 ,Politics
11, 자객공천   비명 지역구 등장한 친명들    공정한 경쟁일 뿐 ,Politics
12,  연패 지역구 우선추천 대상  마포을  김경율 전략공천  가능성 ,Politics
13,새미래 미래연 통합 초읽기  이석현    일 광주시당 창당 함께하길 ,Politics
14, 디올백  한국 여당 뒤흔들다       김건희 여사 논란 보도,Politics
15,민주당 총선  공약은 휴일 당직비  만원 사병 통신비     할인,Politics
16,김웅  김건희  사저나 외국 가는 것도 해법 불쌍하게 보여야 ,Politics
17,이준석  한동훈   삼일천하 도 아닌 어설픈 봉합으로 진퇴양난 ,Politics
18,금태섭  민주당 공천위  이재명 아바타냐  불만 내부에서 나와 ,Politics
19,이준석    서천시장 방문 두고  상인 목소리 빠진 대책이 무슨 의미 ,Politics
20, 뉴스       영하   도 한파 속 해병대 설한지 극복 훈련,Politics
21,    명 넘는 상인 기다리고 있었는데      한동훈과 정치쇼 ,Politics
22,    따뜻한  강남 영남에 전략공천 얼마나 할까,Politics
23,    화해모드   이준석  어설픈 봉합 ,Politics
24, 후배들 못해서   선 김무성  올드보이 귀환 비판에 반박,Politics
25,우리 국회 언제 바꿀래  청년 여성      총선 챌린지,Politics
26,김남국  가난 코스프레  논란에 정유라   진짜 가지가지 해 ,Politics
27, 햄버거 비싸서 나눠먹어  코인 의혹 김남국  과거 생활고 회상,Politics
28,진중권  김경율 원랜 강남 줬어야 내치면 한동훈 비대위 실패 ,Politics
29,신평  한동훈 중도확장하려는 의도  이준석  나도 맞아봐  결국  차전   앵커리포트 ,Politics
30, 명품백이 대통령 기록물  그러면 명품관은 박물관인가  경악한 김웅,Politics
31,해킹 역량 키우는   국정원  국론분열 노린 공격 심해질 것 ,Politics
32,국힘 호준석  서울 구로갑 출마  정치교체  번지 될 것 ,Politics
33,이준석  한동훈 우세승인데   도 인사만 기억남아 ,Politics
34,  최선희 손에  수상한 서류    푸틴  인류 역사상 초유의 도박하나   녹취록 ,Politics
35,김웅  윤 한 갈등은  다 진 게임  김건희 여사 출국도 해법 ,Politics
36,   이번엔 순항미사일 도발 핵탄두 탑재시 최대 살상고도 찾나,Politics
37, 김건희 명품백  더 말 안 한단 한동훈  해결된 게 없다,Politics
38, 충분히 말씀드렸다   정치쇼 말고 특검 ,Politics
39,한동훈   김 여사  언급 안 해  충분히 말씀드렸다 ,Politics
40,이재명   윤석열 한동훈 절규하는 피해 국민 앞에서 일종의 정치쇼 ,Politics
41,새미래  미래연합에    일 광주부터는 창당대회 함께하길 ,Politics
42,이준석  양향자 한국의희망과 개혁신당 사실상 합당 선언 ,Politics
43, 이언주에 복당 권유한 이재명  실익은  ,Politics
44,한동훈  사퇴 방어로  홀로서기  일부 성과 갈등 불씨 남아,Politics
45,김정은  대사변 준비  이후  도발수위 계속 높이는 북한,Politics
46,당적 밥먹듯 바꾼 이언주  민주당 복당땐   번째 ,Politics
47,정동영  민주당 탈당파 호남 상륙 안돼 민주벨트 형성해 대응 ,Politics
48,김웅  김건희 불쌍하게 보이는 방법밖엔 사저나 외국 나가야 ,Politics
49, 친윤  이용에 불쾌감 표한   이상민  그분이   대변하나  직책도 없어 ,Politics
50,윤 한 저격 민주당  본질은 김 여사 죗값 치르는 것  정치쇼 변명 안 돼 ,Politics
51,한동훈  김 여사 질문에  제 생각 충분히 말씀드렸다 ,Politics
52, 김미경의 정치네컷  한동훈의  폴더인사   윤석열의  어깨 툭  극적화해  약속대련 ,Politics
53, 뉴스포커스  화재현장 동행한 윤대통령 한동훈 갈등 불씨는 여전,Politics
54,대만 야당  판도 변화  입지 좁아진 국민당    기선잡은 민중당,Politics
55,국민      김건희 디올백  윤 대통령 입장 표명 필요하다 ,Politics
56,김경율 사퇴가 출구전략  한동훈  그런 말 들은 바 없다 ,Politics
57,이준석  나는 정공법 썼지만   한동훈은 어설픈 봉합 ,Politics
58,국민의힘 전현직 국회의원 의정부갑 출사표 종합 ,Politics
59,불출마 김웅  김 여사  사저 가거나 해외로 나가라 ,Politics
60,이재명  윤 한  서천 봉합 에  그곳에서 정치쇼  역사에 남을 것 ,Politics
61,국힘 혼란할 때면 두더지처럼 쑥쑥 튀어나와 분란 부채질하는 사람들  기자  시 ,Politics
62,응답자      김건희 여사  명품 가방  논란  대통령이 직접 입장 밝혀야 ,Politics
63,윤석열 향한 한동훈의   도 인사 갈등 봉합  돌고 돌아 민주당 가는 이언주,Politics
64, 뉴스라이브  조응천  수박 나가니 이젠 멜론 압박 ,Politics
65,   예비군 동원훈련  년  년 보상비   만원 주겠다 ,Politics
66,윤석열    한동훈  지금은 예고편에 불과 본편은 공천 싸움 ,Politics
67,민주 총선  공약 발표  사병 휴대전화 요금 할인비율    로 ,Politics
68,군부대 방문 이재명   비데 늘려달라  요구에  작은 문제같지만 매우 근본적인 문제 ,Politics
69,용산 자극 피하려  한동훈  김건희 김경율 관련 입장 묻자  침묵 ,Politics
70,     당직비 인상 사병 전화요금 절반 할인 동원훈련 단축 ,Politics
71,     절반의 화해   김여사 김경율 민심  불씨 남아,Politics
72,이재명  대통령  절규하는 피해 국민 배경으로 정치쇼 ,Politics
73,유권자         김건희 문제에 입장 밝혀야   엠브레인퍼블릭 ,Politics
74, 뉴스       한동훈  총선 승리 다짐  함께 가면 길이 됩니다 ,Politics
75,김무성  김건희 직접 나설 필요 없다 김경율 사퇴해야 ,Politics
76,이상민  김경율  지금 그만두면 입 틀어막는 것 당에도 역효과 ,Politics
