,titles,category
0,"""디올백, 한국 여당 뒤흔들다""…WSJ, 김건희 여사 논란 보도",Politics
1,민주당 총선 軍공약은…휴일 당직비 6만원·사병 통신비 50% 할인,Politics
2,"김웅 ""김건희, 사저나 외국 가는 것도 해법…불쌍하게 보여야""",Politics
3,"이준석 ""한동훈, '삼일천하'도 아닌 어설픈 봉합으로 진퇴양난""",Politics
4,"금태섭 ""민주당 공천위 '이재명 아바타냐' 불만 내부에서 나와""",Politics
5,"이준석, 尹 서천시장 방문 두고 ""상인 목소리 빠진 대책이 무슨 의미""",Politics
6,"""100명 넘는 상인 기다리고 있었는데...尹, 한동훈과 정치쇼""",Politics
7,"與, '따뜻한' 강남·영남에 전략공천 얼마나 할까",Politics
8,"尹-韓 화해모드...이준석 ""어설픈 봉합""",Politics
9,"""후배들 못해서"" 6선 김무성, 올드보이 귀환 비판에 반박",Politics
10,"김남국 '가난 코스프레' 논란에 정유라, ""진짜 가지가지 해""",Politics
11,"""햄버거 비싸서 나눠먹어""…코인 의혹 김남국, 과거 생활고 회상",Politics
12,진중권 “김경율 원랜 강남 줬어야…내치면 한동훈 비대위 실패”,Politics
13,"신평 ""한동훈 중도확장하려는 의도"" 이준석 ""나도 맞아봐, 결국 2차전"" [앵커리포트]",Politics
14,"""명품백이 대통령 기록물? 그러면 명품관은 박물관인가"" 경악한 김웅",Politics
15,"해킹 역량 키우는 北…국정원 ""국론분열 노린 공격 심해질 것""",Politics
16,"이준석 ""한동훈 우세승인데 90도 인사만 기억남아""",Politics
17,"北 최선희 손에 '수상한 서류'...푸틴, 인류 역사상 초유의 도박하나 [Y녹취록]",Politics
18,김웅 “윤-한 갈등은 ‘다 진 게임’…김건희 여사 출국도 해법”,Politics
19,"北, 이번엔 순항미사일 도발…핵탄두 탑재시 최대 살상고도 찾나",Politics
20,"'김건희 명품백' 더 말 안 한단 한동훈, 해결된 게 없다",Politics
21,"""충분히 말씀드렸다""‥""정치쇼 말고 특검""",Politics
22,"한동훈, '김 여사' 언급 안 해…""충분히 말씀드렸다""",Politics
23,"이재명, ""윤석열-한동훈 절규하는 피해 국민 앞에서 일종의 정치쇼""",Politics
24,"새미래, 미래연합에 ""27일 광주부터는 창당대회 함께하길""",Politics
25,"이준석 ""양향자 한국의희망과 개혁신당 사실상 합당 선언""",Politics
26,"""이언주에 복당 권유한 이재명, 실익은?""",Politics
27,"한동훈, 사퇴 방어로 '홀로서기' 일부 성과…갈등 불씨 남아",Politics
28,김정은 “대사변 준비” 이후… 도발수위 계속 높이는 북한,Politics
29,당적 밥먹듯 바꾼 이언주… 민주당 복당땐 ‘6번째’,Politics
30,"정동영 ""민주당 탈당파 호남 상륙 안돼…민주벨트 형성해 대응""",Politics
31,"김웅 ""김건희 불쌍하게 보이는 방법밖엔…사저나 외국 나가야""",Politics
32,‘친윤’ 이용에 불쾌감 표한 與 이상민 “그분이 尹 대변하나… 직책도 없어”,Politics
33,윤-한 저격 민주당 “본질은 김 여사 죗값 치르는 것… 정치쇼 변명 안 돼”,Politics
34,"한동훈, 김 여사 질문에 ""제 생각 충분히 말씀드렸다""",Politics
35,"[김미경의 정치네컷] 한동훈의 `폴더인사`, 윤석열의 `어깨 툭`…극적화해? 약속대련?",Politics
36,[뉴스포커스] 화재현장 동행한 윤대통령·한동훈…갈등 불씨는 여전,Politics
37,대만 야당 '판도 변화'…입지 좁아진 국민당 vs 기선잡은 민중당,Politics
38,"국민 70% “김건희 디올백, 윤 대통령 입장 표명 필요하다”",Politics
39,"김경율 사퇴가 출구전략?…한동훈 ""그런 말 들은 바 없다""",Politics
40,"이준석 ""나는 정공법 썼지만...한동훈은 어설픈 봉합""",Politics
41,국민의힘 전현직 국회의원 의정부갑 출사표(종합),Politics
42,"불출마 김웅 ""김 여사, 사저 가거나 해외로 나가라""",Politics
43,"이재명, 윤-한 '서천 봉합'에 ""그곳에서 정치쇼? 역사에 남을 것""",Politics
44,국힘 혼란할 때면 두더지처럼 쑥쑥 튀어나와…분란 부채질하는 사람들 [기자24시],Politics
45,"응답자 69% ""김건희 여사 '명품 가방' 논란, 대통령이 직접 입장 밝혀야""",Politics
46,윤석열 향한 한동훈의 90도 인사…갈등 봉합? 돌고 돌아 민주당 가는 이언주,Politics
47,"[뉴스라이브] 조응천 ""수박 나가니 이젠 멜론 압박""",Politics
48,"野 ""예비군 동원훈련 4년→3년…보상비 16만원 주겠다""",Politics
