,titles,category
0,지난해 불타고 젖은 폐기화폐   쌓으면 롯데타워    배 높이 ,Economic
1,   억원대 전세사기범에 구형보다  년 긴   년형 선고,Economic
2,트럼프 테마주  배 폭등했는데  개미들  그래도 묻고 더블로 ,Economic
3, 물타기도 지쳤다   차전지에 베팅한 개미 수익률     ,Economic
4,김주현 이복현  증권사  강도 높은 자정 필요  부동산    작심 발언 종합 ,Economic
5,   라씨로 포스코인터  영업이익  조 달성에 상승세,Economic
6, 생계비대출 받으러 오셨어요  일자리도 알아봐 드릴게요 ,Economic
7,전현직 연준 관리      월 금리 인하 가능성 아직 있어,Economic
8,  조 기부왕 창업주  삼영산업  직원    명 전원 해고 통보,Economic
9, 달동네  정릉골 재개발  관리처분인가      가구 타운하우스 재탄생,Economic
10, 총선 앞두고 찬물  공정위 플랫폼법 사실상 손절하는 정치권 반대여론 확산에  사면초가  ,Economic
11,셀트리온    시밀러 출시 가속페달   년  종  년  종 ,Economic
12,설 차례상 물가 역대 최고치  또  경신   만   만원,Economic
13, 스트레스 높으면 붉은색  운전자 기분에 따라   조명이 바뀐다,Economic
14,세계 스마트폰  위 시장서 갤     난리  역대 최대 사전예약 성공,Economic
15,진양곤 회장      년 간암 치료제 시장점유율     매출  조 목표 ,Economic
16,곱창집서 하루 팔 분량 혼자 먹더니 히밥 곱창 제품도 나왔다,Economic
17,스튜디오삼익  공모가  만    원 확정 경쟁률    대  ,Economic
18, 아이 울음 어디가고  곡 소리만 늘어  매달  만 명 줄더니   만 명 사라져   저출생에 결혼까지  뚝   이러다간,Economic
19, 새해 첫 상장  우진엔텍   따따블  성공했다  증시이슈 ,Economic
20, 속보    대한통운 항소심도 패소  택배노조 단체교섭 거부 부당 ,Economic
21, 단독 롯데쇼핑  수원 영통에   층 시니어 레지던스 짓는다,Economic
22,수도권 부촌 관통하는 신분당선  수원 이목지구 지날까     디에트르  분양 소식 눈길,Economic
23,단통법 폐지되면 갤럭시     진짜  싸질까  반응은  글쎄 ,Economic
24, 김대호의 경제읽기  벼랑 끝 내몰린 건설업계 부도 분양보증 사고 급증,Economic
25, 카카오의   엔터 인수        년 자본시장 가장 뜨겁게 달군 이슈  넘버스 ,Economic
